,id,content,location_traffic_convenience,location_distance_from_business_district,location_easy_to_find,service_wait_time,service_waiters_attitude,service_parking_convenience,service_serving_speed,price_level,price_cost_effective,price_discount,environment_decoration,environment_noise,environment_space,environment_cleaness,dish_portion,dish_taste,dish_look,dish_recommendation,others_overall_experience,others_willing_to_consume_again
2312,2312,"""霸王餐之香樟花园时令锅物，这又是一次高大上的试吃啊！pass卡名额都用光光啦，很幸运的能被抽中。因为非周末加之中午，店内人气不是很旺，但服务非常好，个个笑脸盈盈，礼貌待人。由于提前预定，菜品很快就上了，是情侣双人套餐，带着老妈去的，感受一下情侣套餐。开胃小食3样，已不入法眼了，直奔刺身拼盘去了，哇哈哈，最爱的三文鱼呀，貌似切的太大了，要是薄点就好了，锅底选择了台式麻辣锅和招牌养生菌菇猪肚汤锅，个人觉得辣锅不咋地，可能还是偏爱重庆火锅的那种辣吧，猪肚汤很鲜美，满满的猪肚，菜品好多啊，象拔蚌、鲍鱼、虾、牛肉好多好多，最后还有蛋糕和水果，叫我怎么吃的下？哈哈！最后还有现场做泡饭，为了避免浪费泡饭就不吃了，非常好的一次体验，强烈推荐！""",-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,1,0,-2,-2,1,1
2313,2313,"""第一次来这家店吃，是一人一个小锅的，菜单品种比较多，有羊肉、培根和牛肉等等，螃蟹也有了，而且上的还是挺快的，去的时候里面人不是很多，羊肉上的的速度不是很快要等一段才会上，虽说坐在回转火锅后面的小伙伴可能吃不到，但是坐在前面的我表示每次随意拿啊。其次个人更爱养身火锅，口味不错，吃到自己满意再走，感觉还是比较满意，对得起这个价钱，就是饮料没有很多选择的，喜欢喝酒的人比较适合，有听装啤酒，自助比较划算最起码可以吃到你饱为止。""",-2,-2,-2,-2,-2,-2,0,0,1,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2
2314,2314,"""首先感谢点小评的霸王餐👄第一次中奖100元代金券鸡冻(*^ω^*)提前打电话给商家，商家说不用预约，还提醒我们可以七点左右来有表演，很贴心～
刘记串吧在奉天街上，位置很好找，门口可以免费停车，交通便利。还可以找代驾，串吧内有代价的电话和收费标准。里面服务员态度都特别好，全程微笑服务，让顾客感觉非常舒心。
六点到的人挺多，一楼几乎已经坐满了，六点半驻唱来了一男一女，更喜欢女生的嗓音～
菜品麻辣龙虾尾是我个人认为他们家最好吃哒～比较辣，是甜辣口味的，喜欢甜辣的朋友不要错过真的非常好吃；骨肉相连也不错，烤韭菜和烤扇贝一般，个人感觉扇贝味道很一般，不过扇贝肉真的很大！烤鱿鱼也一般，大块的鱿鱼有点哏不大好咬断。怪味蛏子味道挺鲜的；还有红柳大串不错很过瘾；金针菇味道也是有一点甜的很好吃。三个人去吃了一百八，用了券比较合适。最近新开业的店，现在去全场68折！还可以充会员，充两倍钱可以免单一次挺合算的。总的来说还不错，有机会还会再去～""",1,-2,1,-2,1,0,-2,-2,1,1,-2,-2,-2,-2,1,0,-2,-2,1,1
2315,2315,"""营口市春花海鲜城，来营口旅游听当地人说的这个地方不错，再上大众点评网上看了看排名也在前面，今天晚上就去实践了一把，感觉还不错，到的时候才4点半多就已经排队等位了，好在没等多久，在大众点评网上团购的138一位，节日每人加价10元，不过总体感觉还挺值的，海鲜基本都是活的，还有各种蔬菜，熟食，水果，甜品，小吃等等，品种真的特多，还有烧烤的扇贝和生蚝，还赠送了迷你海参小米粥一碗。服务员态度很好，也很勤快随时把垃圾和空盘收走，环境有点拥挤，不过总体来说不错，值得推荐！""",-2,-2,-2,1,1,-2,-2,0,1,0,-2,-2,-1,-2,-2,-2,-2,-2,1,1
2316,2316,"""机场附近也没什么好吃的，除了人和镇就是东华村啦。坐个穿梭巴或者打个滴滴，5分钟就到了，但是也方便。村里要数湘菜川菜多，虽然装潢不怎么高大上，味道还是可以的，价格也合理。活鱼馆，但是朋友不吃鱼，也就只能作罢，点个黄鳝解解馋，味精有点重。风味虾图文不符，不推荐。特别小只，没有什么肉，而且用的是我最不喜欢的油炸，不健康。千叶豆腐马马虎虎。铁板粉条还不错，可能是女生天生就爱吃粉条的原因哈哈。山药汤马马虎虎，上汤小白菜很平淡，喜欢。但是想吃的主食都说卖完咯。还有就是上菜速度太慢了，等了差不多半个小时才上""",1,-2,-2,-2,-2,-2,-1,0,-2,-2,0,-2,-2,-2,-1,1,-2,-1,0,-2
2317,2317,"""【地点】在三山街地铁站附近  中午在水平方吃饭就顺便过去了

【暴虐冰淇淋】冲着这个去的 跟上次在魔都吃的甜品很像  觉得南京也没什么这种类型的甜品所以还蛮推荐的  底部是浓缩咖啡 上面的冰淇淋分香草和巧克力  巧克力的不是特别甜  带一点苦  最上面的威化很好吃
【小鱼小姐】奶咖 奶味不是很重  有点苦
【大鱼先生】奶咖 比小鱼小姐的奶味重  我更喜欢这个口感  一开始点的小鱼服务生做错了结果两杯都给我了  好感恩  ू(ʚ̴̶̷́ .̠ ʚ̴̶̷̥̀ ू)
【摩卡】朋友喝的 尝了一口还不错

建议咖啡喝了一点之后要一点冰块加进去  口感更好  特别爽  尤其在高温的南京(▰˘︹˘▰)

坐在吧台看着各位做咖啡真的挺有意思的hhhh""",1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,1,-2
2318,2318,"""整体的感觉可以用味道别致，装修特别来概括。泰国菜的菜品和平常我们吃的不一样，味道偏向酸，辣，甜的混合。很多菜，比如青木瓜，就很好吃，配上辣辣的酱很爽口。果汁也很好喝，甜甜的，老板说是鲜榨的，非常新鲜。三杯鸡和我们吃的台湾风格的不同，里面有泰国香草，很特别的味道，但是却更香甜。鱼很酥脆，也很大一跳。不过个人最喜欢的还是冬阴功汤，用料很丰富，还有椰奶的味道，虾也很大，非常喜欢这个，一下喝了两蛊～有机会会和朋友再来。""",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,-2,-2,1,1
2319,2319,"""『位置』新侨饭店对面，就在2号线地铁站旁边，应该是c出口吧
『环境』很干净，里面还有座儿，还有厕所有wifi，等车的好去处(✪▽✪)
『口味』今天下夜班等车的时候，突然特别想吃老婆饼，刚好这个时候刚出炉一锅，买了三种口味各两个！之前吃过豆沙和紫薯的，没吃过糯米的，今天也买了两个……个人表示还是最喜欢吃紫薯，然后是豆沙，糯米的就算了，不喜欢糯米老婆饼的味道，有一种很难以描述的味道，反正是不喜欢，豆沙相对紫薯偏甜一点，我个人还是喜欢紫薯！而且他们家刚出炉的老婆饼特别稣，口感特别棒，但是感觉现在內馅儿少了，没有以前多了，桑心( ﾉД`)""",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-1,0,-2,-2,0,-2
2320,2320,"""总体评价，交通方便，性价比不错。食堂里面算不错的。
「地点」南理工一号门小区旁边，学校里面，很好找。地铁二号线孝陵卫出口上去走走就到。交通还比较方便。适合大学聚会和送学生上学的家长来吃，平时好多外面的人也来吃的。
「环境」还不错，比较干净。学校里，相比外面的餐馆，好多了，还有那种隔间小厅，周围环境很不错。
「分类」快餐，荤素搭配，彩色还不错，还有稀饭，馄饨，面条等，除此之外还有点菜，经济实惠，还很好吃。更重要的是可以微信点餐，不用排队，好先进好不好。
「服务」服务不错。很好。
「价格」性价比不错呢。就在家门口，经常来吃。
总体评价。环境还行，交通方便，性价比不错，服务不错。""",1,-2,1,1,1,-2,-2,1,1,-2,1,1,1,1,-2,1,1,-2,1,-2
2321,2321,"""之前点评上抽中的双人餐，时间有点久远了，现在补写个评价。商户位置还是比较好找，建设路高地旁边，不过我们到了高地之后还是走返了方向，后来又看了地址才准确找到。

晚餐时候去的，店子是loft格局有两层。从外观上看完全就是酒吧的布置，白天咖啡餐吧晚上就是酒吧了。没好意思坐在一楼的，主要还是感觉太靠近吧台了不自在。二楼有台球桌，座位不多，我们选的那个位置桌子很高沙发矮，不适合用来吃东西的。一个大背投一直在放韩国女团的MV。

等了很久很久才终于上餐了。双人牛排餐只上了一个盘子，里面放了两块牛排，感觉就是外边超市卖的速冻产品，肉质偏老随便吃吃而已，旁边配的意面味道也一般。正吃着突然上来个店员跟我们说她们失误好像把配牛排的酱汁放成巧克力酱了，其实我们也没有蘸酱汁就跟她说没关系不用换了，不过店员还是给我们换了个黑胡椒的酱汁。态度还是多好的。

现烤的华夫饼还不错，口感香甜脆，四块华夫饼淋的是巧克力酱汁。饮品点了杯百香果，一杯咖啡。百香果是小伙伴选的，冰的所以我只尝了一小口比较清爽。咖啡也还行，奶泡打得比较厚还拉了个花，外观看起来不错。二选一的甜品我要的是芝士蛋糕。味道很不错厚实的一大块，芝士味道浓郁细腻，垫底的饼层酥脆掉渣。

因为之前牛排的失误，店员之后又特意送了我们一份盆栽冰淇淋。很袖珍的小盆栽，上面撒了一层奥利奥脆渣，下面是香草味道的冰淇淋。这家的甜品胜过主食，牛排确实不好吃，其他的东西还行。因为灯光太昏暗拍出来的图片都不怎么好看。甜得东西吃太多，吃完之后觉得胃里面闷闷的，默默到电子科大巷子头去买了关东煮。""",-2,-2,1,-2,1,-2,-1,-2,-2,-2,0,-2,-2,-2,-2,0,1,-2,0,-2
2322,2322,"""位置在胡同里，停车比较难，车位甚少。菜品还是可以的，坏境比较嘈杂倒也正常，中式餐馆的常态。不过服务员实在太那个了，点了普通烤鸭，服务员极力说普通的不好，而且会非常慢。说金牌的个儿大，而且上的快，因为去的比较晚了，不想等太久。先问了普通要多久，说是20分钟到半个小时。觉得可以接受说那就点普通，结果服务员马上说不确定，会很慢，总之就是强调会慢，非常慢。因为每次和同事在单位楼下的玉林都是吃普通的，在口感上真心没觉得有什么区别，可实在是不得不佩服服务员的执着，当然也真怕特别慢，菜都吃完了鸭子还没上来，还是要了128的，价格上其实就差30块钱。奇葩剧情来了，40分钟里不见鸭子影子，催了两次端上来一盘，没辙边吃边催吧，最后终于在所有菜都吃完的情况下鸭子上全了。真不知道是我的点背，还是服务员的推销压力太大。总之下次不会再来这了。""",-2,1,-2,-2,-1,-1,-1,-2,-2,-2,-2,-1,-2,-2,-2,0,-2,-2,-1,-1
2323,2323,"""这家店说来开业有一段时间了，虽然经过无数次，但是还没去进去看看。现在银联钱包有咖啡一杯10元的活动，于是就过去了。中午饭后去的，只有三三两两的人，银联钱包优惠可以任选一杯30元标杯的咖啡，感觉还是蛮不错，很实惠的说，选了一杯香草拿铁的，之后就找了一个位子落座，店里有2层，比较慵懒的我就直接坐在了一楼，没有上去观望，不一会儿，咖啡端上来了，标杯的分量还是蛮大的，热热的，口感蛮不错的，感觉空调的马力不是很足，喝完这杯咖啡，好冒汗的说。店里还有卖咖啡的衍生物品，还能用积分兑换，蛮好玩的，可以再次光顾，咖啡控可以过来试试""",-2,-2,-2,-2,-2,-2,-2,0,1,1,-2,-2,-2,-2,1,1,-2,-2,1,1
2324,2324,"""看完电影想找点吃的，走着走着就发现了这家店，看起来小小的装修很有居酒屋的风格，对日料一向是很喜爱的，于是毫不犹豫的就进去了，时间略晚，还好还有吃的，服务员告知他们店是以刺身为招牌的，可是我们带了宝宝不适合吃生冷的东西，最后团购了个套餐有个锅物还有樱花卷寿司想想应该够吃了，先上来两个凉菜，芥末章鱼腿和三文鱼刺身，三文鱼味道还不错公认的软糯口感，比较瘦也很新鲜。芥末章鱼腿刺身就不是一般的大众能接受的了，所幸我们两个都很爱吃日料，接受程度也是比较高的，除了感觉芥末味有点重之外口感还是不错的，于是把一整碟都吃完了。接着上来一小碟樱花卷，是甜度很高的卷类，老板加了咸的蛋黄酱调和口味，造型也是一朵小花花很可爱，基本都喂小宝宝了。最后是一个锅物，考虑到有小孩所以点了甜口的寿喜烧，看着一大锅，煮完发现基本没有肉全是白菜。。最后还另外加了8元的乌冬面，感觉这份锅物实在太甜了，有了乌冬面才完美，老板应该把乌冬面加入套餐，如果不是我们这种会吃的老饕自己加餐，直接吃会觉得非常腻。总体感觉还是不错的，以后如果还有优惠的代金券会再去的，很想尝试一下他家的鳗鱼饭。""",-2,-2,-2,-2,-2,-2,-2,-2,-2,0,1,-2,-2,-2,0,1,1,-2,1,1
2325,2325,"""酸菜鱼的味道还是可以的，但是如果你菜点的比较少的话，那你的心态一点要调整好。第一次遇到这种情况，在店里基本上没什么客人的情况下，眼睁睁看着2桌比我们晚进店20分钟的客人都开始吃鱼了，我们还在苦等。质问服务员竟然说厨房的单子次序搞错了，下一盆就是你们的。问题我们进店的前十几分钟没别的客人来，你们的厨房这段时间应该只有我们这一单啊。经营饭店是需要一些心思的，但你们这样为了要讨好你们认为有价值的客人，而把其他人当傻瓜的做法实在是有点过分了。生意真不是你们这样作的。""",-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-1,-2
2326,2326,"""他家刚开业的时候去的，那时候我们部门老大正好有同事给的500元现金优惠券，去时候大概7点半左右，他家门口排了好多人，幸好我们有提前预约，我们6个人一共消费将近600元，对于吃烧烤花这么多钱在其他地方确实感觉太贵，但是在他家就没有这种感觉，餐厅装修风格非常符合老船长这个名字，复古的风格有点像酒吧，每10分钟就会有歌手助唱，唱的非常不错，第一次尝试喝了黑啤，那个味道我非常的喝不惯，考的菜还是非常不错的，服务也非常主动。""",-2,-2,-2,-2,1,-2,-2,0,-2,0,1,1,-2,-2,-2,1,-2,-2,1,-2
2327,2327,"""蜀老头～开业一个月了！位置在花园路林业大厦往东走路北，店内装修简单干净，吧台上放了几个玻璃罐子，里面装着花椒麻椒辣椒等！墙上和包间门上都是三国里的人物画像，看得出店家对三国有特别的感情！店内有4个包间，包间内装修简单，桌椅都是实木的！
老板是个大气爽直的山东汉子，给我们准备了薯香辣翅中，干锅辣鸭头，飘香馋嘴蛙，麻辣烤鱼，葱香烤鱼。烤鱼是选用的清江鱼，这种鱼没有乱刺，鱼肉也好吃，一条鱼在三斤左右。麻辣烤鱼~麻麻辣辣，麻辣味极大的刺激你的味蕾，味道醇厚。葱香烤鱼~老人和孩子以及不能吃辣的朋友的首选，有豆豉略带甜头，香而不腻。飘香馋嘴蛙～肉嫩细滑，再配以野山椒，酸豆角等调料烹制而成。干锅辣鸭头～鸭头一分为二，腌制的入味，又香又辣，吃起来有些脱骨的感觉。薯香辣翅中～一个翅中分为2块，外酥里嫩，香辣可口，不带汤汁，火红的辣椒堆里还有甜甜的地瓜条！烤鱼吃完还可以放入青菜，用热水绰过得青菜放进烤鱼汤里稍微一咕嘟，配上米饭吃真是美极了！
这些菜里的油都是用八种油熬6个小时，还添加了中草药调料，没任何添加剂。价格也很实惠，清江鱼51.8/斤，草鱼39.8/斤，牛蛙41.8/斤。厨师是老板从北京簋街挖来的，老板为了口味纯正还亲自去四川和广西采集辣椒和花椒等原材料。看的出老板很用心的经营，良心品质！现在79代100，还是很划算的！爱吃烤鱼的，不怕辣的快快来拔草吧！""",-2,-2,-2,-2,-2,-2,-2,1,-2,1,0,-2,-2,1,0,1,-2,-2,1,1
2328,2328,"""在三亚吃了6顿海鲜，5顿在老客缘，点的238元的套餐，3人吃比较合适，第一顿最惊艳，石斑鱼清蒸的恰到好处，鱼肉紧致滋润，白灼基围虾烧的火候也正好，虾入口清甜，弹力十足，而且干净，蒜蓉鲍鱼，扇贝只要食材新鲜每家都差不多，最爱是海胆蒸蛋，鸡蛋嫩嫩滑滑，包裹着海胆的鲜，真是很棒！大快朵颐后，第二天果断再来，自己买了一只龙虾和2只蟹，代加工再零点了一些菜，4人399元，包含食材和加工费，味道还算保持，接下来第三顿就有些失望，仍然是238的套餐，龙虾炒的巨咸，基围虾沙很多，最爱的海胆蒸蛋又老又咸，无法入口，和老板反馈之后，答应下次再来一定好好做，于是后面又去2次，味道回复，食材就有点差强人意，龙虾换成了蟹非常小，石斑鱼换成老虎斑还不错味道，芒果螺时好时坏（闭壳的为不新鲜的，不能吃），总之，性价比比较高的一家店，有点起伏，还是推荐去尝尝鲜 :)""",-2,-2,-2,-2,0,-2,-2,0,1,-2,-2,-2,-2,-2,-1,0,-2,1,1,-2
2329,2329,"""嬉戏谷旗下品牌。整个店铺环境简洁干净，里面靠着墙的一排是软沙发，靠玻璃的是椅，桌面上摆着印有特色花样的餐盘纸垫，挺别致的。这里的炒饭名字都取自三国典故，而且取得巧妙，在菜单上也有具体解释。我喜欢吃虾，所以要了下图的套餐，30元。服务员很热情，告诉我旁边有免费的小菜和汤。小菜大多口味偏重，少吃点比较好，不过汤羹的确很好，里面有蛋也有豆腐和葱花，好喝。套餐很划算里面有一碗鸡汤，一碟烤鸭。还有一小份水果。具体说说炒饭吧，容器是用竹蔑做成的类似于穿的器皿，好看。炒饭里放的是榨菜粒和青菜粒，味道挺好的。竹蔑器具造型美观但清洗麻烦，如果只用一次，太耗成本。而且竹片容易生刺，万一混在饭中伤了顾客就不好了，可以换成形状相似并带有条纹的漆器，这样或许更省事。感觉这家店正心赞，很推介。""",-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,1,-2,1,-2,-2,1,1
2330,2330,"""位于镇坪路地铁站附近，看到冒着烟，很大群人围着排队啃串的就是了。从小就不怎么喜欢吃羊肉，后来经朋友推荐来这里尝试了一下以后，彻底爱上了这家的烤羊肉串。完全没有羊膻味，肥瘦相间，非常香，而且不会像其他地方的肉串吃到最后嚼不动，很有口感，味道很赞，肉质本身就带着鲜味。老板基本都是一把一把烤完以后统一撒上调料和辣椒一起卖，所以不吃辣的一定要提前说，还要让老板听到，不然只能等下一波。环境和服务就不要奢求了，毕竟来这里吃也是追求一个味道，值得推荐。""",1,-2,-2,-2,0,-2,-2,-2,-2,-2,0,0,0,0,-2,1,-2,-2,1,1
2331,2331,"""一直听说这家烤鱼很好吃，慕名前来，不过要打包回家，烤鱼没办法了，只能点菜了。去的很早，到店还没开餐，服务员态度特别好，听说我要打包的，就去给问了一下能不能给做，然后就开始点菜了。点了大家推荐的鸡围虾，打包口水鸡，还有一个掌中宝
鸡围虾菜量挺大的，鸡翅尤其大，快赶上鸭翅了，味道很好，感觉有黑椒在里面，家人都很喜欢
打包口水鸡，虽然被划分到了凉菜类，但做好是热的，脆脆的鸡皮，上面撒上花生碎，特别香
掌中宝就是鸡脆骨，味道也比较特别，他家菜都是偏辣的，很合我口味
现在他家给免费办会员卡，赠100现金，每满100-20，很划算，下次去店里试试鱼羊航线""",-2,-2,-2,-2,1,-2,-2,0,-2,0,-2,-2,-2,-2,1,1,-2,-2,1,1
2332,2332,"""爬完长城回市区 一看时间正好4:30左右 赶紧直奔什刹海 因为忘记预定了 这个点去才能吃得上 去的早 选了个靠湖的位置  2个女的点了三盘肉 一份虾滑 因为送了3份素菜 所以就点了份海带跟金针菇   完全够吃 本来还想多点点小吃 小哥说吃完再决定 不然就浪费了 果然饱的不要不要的了 
“太阳肉”切的又薄又嫩 强烈推荐
“手切羊肉”厚薄均匀 爽嫩无比
“牛舌”满满一大盘 鲜甜可口
因为是南方人 吃惯了火锅虾滑都是勺子挖了下的 这次看到老北京的虾滑都跟挤奶油似的直接挤的 有点意思哈哈 
坐在树下 吹着湖风 远处还有街上酒吧街上传来的 真是惬意无比啊
吃完还可以沿着湖边散个步 我觉得超级赞 而且重要的是超级便宜！这么多才160多好么！简直赞爆了！""",-2,-2,-2,-2,0,-2,-2,1,-2,-2,-2,-2,-2,-2,1,1,-2,1,1,-2
2333,2333,"""早就想在北京吃顿地道越南菜了，源于数年前西双版纳之行对云南菜肴，尤其是香草烤鱼美味的留恋。翠微附近经常去，也知道饭馆多，但一直没注意到这家偏僻小馆，倒也好找，翠微百货北门出来右手边不远便到了。地方不大，环境一般，人不多，桌子还有点晃，点了炒河粉，炸春卷，咖喱鸡，吃起来总是感觉不到惊喜，和店名有些对不上，咖喱味到是十足，服务员倒是勤快，结账态度也还不错，就是价格稍贵，希望下次再能去品尝其他菜的口味。""",-2,1,1,-2,1,-2,-2,-1,-2,-2,0,0,0,0,-2,0,-2,-2,0,1
2334,2334,"""首先印象是很可爱的一家店，不大不小干净简单而有格调，椅子上放着Q到不行的猫脸椅靠垫。每个位子都给放着一包湿纸巾，包装居然很像套套，很有趣。饭菜不知道是不是原料全是有机的，可是看得出来是精选的。味道真的非常好，沙拉配蔬菜、肉和酱料味道很正也很舍得放。亚洲沙拉里面有很多鸡肉块，口感很好。下次还要来吃其他的汉堡和沙拉，特别想吃牛油果！店铺位于环亚广场地下一层，开放式有露天的桌子，光线和氛围很好，很悠闲不吵闹。总之非常喜欢。""",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,0,1,1,1,-2,-2,1,1
2335,2335,"""地方靠近四川路的信商业区 人不算多 正好非常适合安安静静的喝喝下午茶 来福士的那家真心人太多了 这里很适合约上闺蜜来说说悄悄话 位置也很好 楼梯口下来右手边就是了 B1层总是很多吃吃喝喝的 这家店面算宽敞的 点了网评最高的千层巧克力蛋糕和自己最喜欢的提拉米苏 【千层巧克力】真的有千层哦 口感不是太甜太腻 吃着很有层次感 奶油和蛋皮结合的很好 每一口都很享受 关键蛋糕分量蛮大的 点有一个足够2个人分享 价格也不贵性价比很高 【提拉米苏】我个人很喜欢的一款瓶子蛋糕 用大勺子一勺勺的挖着吃感觉好过瘾 每口都感觉丝滑绵密 巧克力的香甜带出咖啡的香醇 当然吃这种甜品最好就是陪上香浓的 英式下午茶啦 如果是巧克力热饮的话就感觉太甜腻了 英式下午茶正好提现了他的香醇之处 一杯茶一杯蛋糕 一个慵懒下午 完美*^o^*""",-2,1,1,-2,-2,-2,-2,0,1,-2,-2,1,1,-2,1,1,-2,-2,1,-2
2336,2336,"""提前预定的蛋糕，然后第二天送到的。水果缤纷，400多。
蛋糕造型很漂亮，透明的盒子可以看清蛋糕。赠送了一个刀子和三副叉子，一个寿星帽以及数字蜡烛。
蛋糕的饼胚做的应该是时间有点久，已经发硬发干了，中间的夹层有各种罐头类水果,还有一层像是果冻布丁的夹心，味道不错，比布丁要硬。表面的叶子是抹茶味道的巧克力，味道还不错。
送的塑料刀子还没用完就断了，叉子也断了一把，质量一般。
整体觉得一般，蛋糕的口感不好，比起蜜时积慕这些同样可配送的蛋糕味道差一些。""",-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,0,-2,0,-2
2337,2337,"""客香来在洛阳也算是一家很知名的中西快餐店，属于河南省知名品牌，这里的黑胡椒牛排非常有名。景华路店位于涧西区广州市场奥斯卡影城大楼的二楼，招牌很大很显眼，老远都可以看到，在楼下走楼梯可以直接到达。店内面积很大，有上下两层，装修的简约又不失时尚，就餐位干净又整齐。和朋友过来的，点了两杯橙汁，服务员又送了两杯红茶。橙汁味道酸甜可口，感觉有点像蜂蜜味的柠檬汁，非常好喝；送的红茶也很解渴。不过服务员服务水准有待提高，结账的时候我说我付钱，结果服务员还是一直站在一起来的女士朋友旁非要接她的钱，我往她手里塞钱都不收，弄得我很没面子。""",-2,1,1,-2,-1,-2,-2,-2,-2,-2,1,-2,1,1,-2,1,-2,-2,0,-2
2338,2338,"""平时一直在这家店吃的，因为交通方便的关系，正大广场有好多吃的玩的，还有电影院。这次提前定了位子，因为是双休日的关系，怕晚定了没位子。周日逛好正大，十一点半左右到了店里，服务员直接领位，不是靠窗的位子，不过还是可以很清楚的看到黄浦江，直接验证了团购券，没过多久就开始上菜了，第一个菜式蔬菜色拉，作为小南国的招牌菜，个人觉得一般，因为自己不爱吃蔬菜，家人觉得色拉非常好吃，很新鲜。第二道上来的是绍兴醉鸡，鸡肉很嫩，入味的很。接下来上的是红烧肉，肉食主义的最爱，偏爱肥肉，浓油赤酱。赞。锦衣虾球的量非常大，里面的虾个头非常大，虾的肠子也抽掉了，小细节做的很好。杭椒牛柳的牛肉很嫩，杭椒也很好吃，稍微有点辣的感觉。番茄丝瓜面筋煲的面筋很有嚼劲，丝瓜也是非常的新鲜。藕粉珍珠圆子真心好吃，小小的园子藕粉的香味，完美结合在一起，全部吃完。最后还有个水果盆，几片西瓜。""",1,1,-2,-2,0,-2,1,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,1,-2
2339,2339,"""7个人去吃了一顿，总的来说感觉还不错，灯光太昏暗了，略拥挤，有点吵，菜品都不错。

【蒜蓉粉丝虾】我超喜欢的一道菜，蒜蓉的味道很足，虾线都剃掉了，很方便呢。
【秋葵牛柳】咸淡适中，牛柳不是那种软软的嫩肉粉过多的赶脚，不错。
【蓝莓山药】有点奇怪的是去崂山店给了3个，在这边是4个，为啥不一样？
【拌海草】试了这么多，唯一可以接受的海草的味道是这家的，没那么腥。
【某某大排】好吃，就是有点少。
【炸虾仁】面粉有点过多，味道还行。
【某某糯米藕】摆盘超级漂亮！而且很好吃，简直一扫而空！
【红烧肉】表面晶晶亮亮果冻色，大家都说好吃~

因为太好吃，所以盘子最后都空了……""",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-1,1,1,-2,1,-2
2340,2340,"""在我们武进的一家酒店，对面就是公园，交通比较便利的，虽然会堵车。免费停车，停车位也较多的。周边配套设施不错的，有很多商城超市。第一次来这边的全日餐厅吃自助，提前进行了预约，座位不是太宽松。有乐队表演，就两位，演唱的还是比较中规中矩的。整个用餐过程还是比较舒适自在的，热菜不多，服务员水平一般般，如果是五星酒店，感觉服务的水准没有达到，人员的素质年龄段可能较参差吧。服务水平方面确实跟其他五星酒店有很大距离，最主要显得不够专业规范。
自助餐方面，菜量确实比较少，整个吃下来，真心没有遇到眼前一亮的菜肴，菜的新鲜度还不错的。饮料方面，自助选了奇异果汁，不是鲜榨的；火锅方面，酱料较少，没有一般在火锅店会有的蒜泥和香葱；热菜着实菜色少的。服务员会逡巡收顾客用完的空盘。
整体来说，吃自助，下次如无必要是不会选择在这边的。但是酒店大堂很modern，很喜欢这样的风格，我想住宿方面会很不错的！""",1,1,-2,-2,0,1,-2,-2,-2,-2,1,1,0,-2,-1,0,-2,-2,0,0
2341,2341,"""第一次来这边 觉得这里的物价真的比广州低很多 而且这里的水果巨便宜 跑题了 说回菜品 大多味道还不错的 不过就是有些菜不够入味 要加热然后再煮一下才好吃 这里的豆腐花我吃不惯 还是南方的豆腐花好吃 还有汤 第一次喝到里面有葱花的汤 而且味道也不像我们这边的 喝不习惯 这家的炸莲藕还不错 春卷一般 不过家人喜欢吃 还有一个什么菜 名字不记得了 就是豆腐渣 然后我妈以为是粥 吃进口才知道不是粥 她说味道她不喜欢 然后蒸扣肉也吃不习惯 虽然入口即化 下面铺的糯米有点咸了 重点推荐它家的包子 真的好好吃 而且还很大一个 在南方吃不到正宗老面做的包子""",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,1,0,-2
2342,2342,"""对于一个路痴来讲稳呢间店花佐唔少时间，个位置都算比较偏僻唔系好显眼。环境好舒适，卫生都几干净，服务员着住韩国服饰，裙摆好阔，走起来飘得好好睇。食物摆放好精致，全程有服务员帮我地烤食物~分配~如果可以顺带介绍下菜名就更好啦，因为我系个五谷不分架人~D肉生前一个样，熟之后又一个样，如果有人问我最好吃系咩烤肉啊，我绝对UP唔出系乜名罗。个鸡汤好足料，饮落都几胶口，饭同饼都唔错，其他D配菜就唔多讲啦，就系觉得贝壳类非常非常之营养不良~基本好难系蒜蓉堆下面发现到有肉的存在""",-2,-2,1,-2,1,-2,-2,-2,-2,-2,1,1,1,1,-1,0,1,-2,0,-2
